Camera,Burrow,On,Off
119,172,13-May-2013 11:51,13-May-2013 13:35
119,172,13-May-2013 14:02,15-May-2013 10:15
119,172,15-May-2013 12:34,15-May-2013 17:20
119,172,15-May-2013 17:39,15-May-2013 18:41
119,172,16-May-2013 08:14,18-May-2013 11:50
119,172,11-Jun-2013 08:29,11-Jun-2013 17:00
119,172,11-Jun-2013 17:11,13-Jun-2013 10:04
119,172,25-Jun-2013 00:01,12-Jul-2013 23:59
120,325,03-May-2013 00:00,03-May-2013 11:17
120,325,03-May-2013 13:55,03-May-2013 17:12
120,325,03-May-2013 17:35,04-May-2013 15:57
120,333,04-May-2013 15:58,06-May-2013 16:20
120,333,06-May-2013 16:42,09-May-2013 11:45
120,220,09-May-2013 11:45,12-May-2013 09:10
120,130,12-May-2013 09:11,13-May-2013 09:35
120,130,13-May-2013 09:53,13-May-2013 11:10
120,130,13-May-2013 11:51,13-May-2013 13:35
120,130,13-May-2013 14:02,15-May-2013 10:17
120,130,15-May-2013 12:36,15-May-2013 18:39
120,130,16-May-2013 08:14,18-May-2013 10:24
120,283,18-May-2013 10:26,18-May-2013 12:17
120,396,29-May-2013 10:21,11-Jun-2013 08:28
120,396,11-Jun-2013 08:29,13-Jun-2013 10:04
120,386,15-Jun-2013 11:11,20-Jun-2013 12:17
120,386,20-Jun-2013 12:25,27-Jun-2013 04:52
120,386,27-Jun-2013 04:59,08-Jul-2013 16:38
120,386,08-Jul-2013 16:40,12-Jul-2013 23:59
121,112,03-May-2013 00:00,03-May-2013 11:17
121,112,03-May-2013 13:55,03-May-2013 15:33
121,109,03-May-2013 15:36,03-May-2013 17:12
121,109,03-May-2013 17:35,04-May-2013 16:52
121,110,05-May-2013 08:31,13-May-2013 09:35
121,110,13-May-2013 09:53,13-May-2013 11:10
121,110,13-May-2013 11:51,13-May-2013 13:35
121,110,13-May-2013 14:02,15-May-2013 10:15
121,110,15-May-2013 12:34,15-May-2013 17:20
121,110,15-May-2013 17:39,15-May-2013 18:41
121,110,16-May-2013 08:14,18-May-2013 11:11
121,240,18-May-2013 11:12,18-May-2013 12:17
121,240,11-Jun-2013 08:29,13-Jun-2013 10:04
121,240,25-Jun-2013 00:01,12-Jul-2013 23:59
122,200,03-May-2013 00:00,06-May-2013 16:20
122,200,06-May-2013 16:42,07-May-2013 14:19
122,209,07-May-2013 14:22,09-May-2013 12:16
122,372,09-May-2013 12:17,15-May-2013 10:15
122,372,15-May-2013 12:34,15-May-2013 17:20
122,372,15-May-2013 17:39,15-May-2013 18:41
122,372,16-May-2013 08:14,18-May-2013 11:56
122,372,11-Jun-2013 08:29,13-Jun-2013 10:04
122,372,25-Jun-2013 00:01,12-Jul-2013 23:59
123,275,03-May-2013 00:00,03-May-2013 11:17
123,275,03-May-2013 13:55,03-May-2013 15:39
123,277,03-May-2013 15:41,13-May-2013 09:19
123,277,13-May-2013 09:50,13-May-2013 11:09
123,277,13-May-2013 11:48,13-May-2013 13:23
123,277,13-May-2013 14:03,15-May-2013 10:17
123,277,15-May-2013 12:36,15-May-2013 18:39
123,277,16-May-2013 08:14,18-May-2013 10:46
123,162,18-May-2013 10:50,18-May-2013 11:47
123,162,11-Jun-2013 08:29,13-Jun-2013 10:04
123,162,21-Jun-2013 12:39,21-Jun-2013 12:39
123,162,25-Jun-2013 00:01,12-Jul-2013 23:59
124,257,04-May-2013 00:00,15-May-2013 10:15
124,257,15-May-2013 12:34,15-May-2013 17:20
124,257,15-May-2013 17:39,15-May-2013 18:41
124,257,16-May-2013 08:14,18-May-2013 11:58
124,257,11-Jun-2013 08:29,13-Jun-2013 10:04
124,257,13-Jun-2013 10:37,13-Jun-2013 10:37
124,257,25-Jun-2013 00:01,29-Jun-2013 11:07
124,198,29-Jun-2013 11:08,12-Jul-2013 23:59
125,109,29-Apr-2013 17:01,01-May-2013 15:02
125,272,01-May-2013 15:02,12-May-2013 11:35
125,350,29-May-2013 10:00,05-Jun-2013 15:10
125,350,06-Jun-2013 00:00,20-Jun-2013 05:00
125,416,20-Jun-2013 05:01,27-Jun-2013 04:58
125,416,27-Jun-2013 05:07,09-Jul-2013 14:30
126,116,29-Apr-2013 00:00,07-May-2013 14:19
126,112,07-May-2013 14:24,10-May-2013 15:23
126,298,10-May-2013 15:23,13-May-2013 17:06
127,308,29-Apr-2013 00:00,01-May-2013 16:02
127,258,13-Jun-2013 10:37,14-Jun-2013 11:38
127,404,14-Jun-2013 12:40,12-Jul-2013 23:59
128,263,29-Apr-2013 00:00,07-May-2013 13:59
128,191,11-Jun-2013 09:43,11-Jun-2013 17:01
128,191,11-Jun-2013 17:11,13-Jun-2013 10:05
128,191,13-Jun-2013 10:37,20-Jun-2013 12:17
128,191,20-Jun-2013 12:25,27-Jun-2013 04:58
128,191,27-Jun-2013 05:07,12-Jul-2013 23:59
129,248,29-Apr-2013 00:00,18-May-2013 10:37
129,173,11-Jun-2013 17:11,12-Jul-2013 23:59
130,243,29-Apr-2013 00:00,13-May-2013 16:16
130,75,13-May-2013 16:17,17-May-2013 09:48
130,75,28-May-2013 13:29,03-Jun-2013 12:20
130,398,13-Jun-2013 10:37,20-Jun-2013 12:17
130,398,20-Jun-2013 12:25,12-Jul-2013 23:59
